Id,Employee Id,Scheduled Shift Id,Start Time - Shift,End Time - Shift,Start Time - Break,End Time - Break,Pay Rule ID,Org Id - Sub Shift
520750,5084,532731,2018-03-31T07:00:00,2018-03-31T17:00:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,766
521591,5159,532838,2018-03-31T07:00:00,2018-03-31T13:00:00,2018-03-31T09:00:00,2018-03-31T09:30:00,18,304
521738,2837,533412,2018-03-31T07:00:00,2018-03-31T17:30:00,2018-03-31T08:00:00,2018-03-31T09:00:00,18,296
520584,3505,532508,2018-03-31T07:15:00,2018-03-31T17:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,92
520585,3587,,2018-03-31T07:30:00,2018-03-31T17:00:00,2018-03-31T09:46:00,2018-03-31T10:46:00,18,638
520583,929,533677,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,113
520692,5077,533518,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T10:30:00,2018-03-31T11:30:00,4,1017
520689,5102,533454,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,1097
520728,2192,533509,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,1017
520764,4932,533376,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,403
520771,4608,530011,2018-03-31T07:30:00,2018-03-31T17:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,725
520773,4698,,2018-03-31T07:30:00,2018-03-31T17:00:00,2018-03-31T10:05:00,2018-03-31T11:05:00,9,999
520862,4450,533256,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,395
520688,4972,533443,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T12:15:00,2018-03-31T13:15:00,18,1097
520763,4846,526452,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,445
520770,4837,533020,2018-03-31T07:30:00,2018-03-31T14:30:00,2018-03-31T10:30:00,2018-03-31T11:00:00,4,910
520698,1523,537245,2018-03-31T07:30:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,972
520767,3229,534286,2018-03-31T07:30:00,2018-03-31T18:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,6,437
520768,4604,532689,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,4,519
521736,4933,,2018-03-31T07:30:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,403
520594,3927,537123,2018-03-31T07:45:00,2018-03-31T18:00:00,2018-03-31T11:45:00,2018-03-31T12:45:00,4,488
520592,4542,537129,2018-03-31T07:45:00,2018-03-31T12:45:00,,,4,488
520593,4406,537155,2018-03-31T07:45:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,488
520597,4393,537132,2018-03-31T07:45:00,2018-03-31T15:00:00,2018-03-31T10:30:00,2018-03-31T11:00:00,4,488
520600,5078,,2018-03-31T07:45:00,2018-03-31T15:30:00,2018-03-31T08:18:00,2018-03-31T08:48:00,5,520
520775,2662,533370,2018-03-31T07:45:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,403
520589,3462,536697,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T10:00:00,2018-03-31T11:00:00,6,1086
520596,2475,,2018-03-31T08:00:00,2018-03-31T19:00:00,2018-03-31T10:16:00,2018-03-31T11:16:00,6,129
520603,3874,530587,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,212
520605,3788,536317,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,878
520612,4716,534980,2018-03-31T08:00:00,2018-03-31T16:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,717
520614,3984,,2018-03-31T08:00:00,2018-03-31T19:00:00,2018-03-31T10:23:00,2018-03-31T11:23:00,2,132
520619,5093,532929,2018-03-31T08:00:00,2018-03-31T16:00:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,164
520621,3329,532629,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,140
520628,3970,532903,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T14:30:00,2018-03-31T15:30:00,18,84
520630,5008,537182,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T11:30:00,2018-03-31T12:30:00,9,1065
520637,3711,534048,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,18,156
520639,3828,534045,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,156
520644,2363,532642,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T11:00:00,2018-03-31T11:30:00,2,140
520646,4181,533946,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,638
520653,4525,537899,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T13:00:00,2018-03-31T13:30:00,4,204
520655,5114,530569,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,18,212
495874,2585,513283,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,209
499435,4098,516087,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,52
520590,4665,537075,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T09:00:00,2018-03-31T09:30:00,9,959
520591,4666,537070,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T09:00:00,2018-03-31T09:30:00,9,959
520606,1356,534136,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T13:00:00,2018-03-31T14:00:00,6,25
520586,4798,536307,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,876
520588,4274,536703,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,1089
520595,4662,537060,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,16,956
520602,873,533048,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:30:00,2018-03-31T13:30:00,6,188
520604,4330,534157,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,28
520611,1353,533061,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,2,188
520613,4905,532920,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,164
520620,3930,535263,2018-03-31T08:00:00,2018-03-31T13:00:00,,,3,894
520622,4592,532908,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,164
520627,4862,,2018-03-31T08:00:00,2018-03-31T15:30:00,2018-03-31T10:27:00,2018-03-31T11:27:00,2,204
520629,4332,536329,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,2,878
520636,3822,533906,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,894
520638,3654,533844,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,212
520645,2940,532906,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,161
503404,3217,521648,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,852
520599,4517,534962,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T10:18:00,2018-03-31T11:18:00,18,717
520601,4670,537072,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T09:00:00,2018-03-31T10:00:00,9,959
520615,2329,,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:23:00,2018-03-31T11:23:00,6,811
520616,1386,533558,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,918
520617,4693,,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:24:00,2018-03-31T11:24:00,4,1089
520618,4904,533710,2018-03-31T08:00:00,2018-03-31T15:00:00,2018-03-31T11:00:00,2018-03-31T11:30:00,18,116
520631,1034,524468,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T13:00:00,2018-03-31T14:00:00,6,122
520632,5136,,2018-03-31T08:00:00,2018-03-31T16:00:00,2018-03-31T10:28:00,2018-03-31T11:28:00,18,52
520633,2341,534043,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,153
520634,2635,533051,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,4,188
520635,3527,531235,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,52
520649,4518,532696,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,4,228
520650,2913,533753,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T12:00:00,2018-03-31T13:00:00,6,169
520651,2466,,2018-03-31T08:00:00,2018-03-31T15:15:00,2018-03-31T10:30:00,2018-03-31T11:00:00,4,212
520665,3676,536313,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T12:00:00,2018-03-31T13:00:00,2,878
520666,822,532898,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T14:30:00,2018-03-31T15:30:00,2,84
520607,3864,,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T10:21:00,2018-03-31T11:21:00,6,204
520608,5017,,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T10:22:00,2018-03-31T11:22:00,3,638
520609,2889,532514,2018-03-31T08:00:00,2018-03-31T17:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,92
520610,3036,532891,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T14:30:00,2018-03-31T15:30:00,18,84
520623,4887,,2018-03-31T08:00:00,2018-03-31T19:00:00,2018-03-31T10:26:00,2018-03-31T11:26:00,18,870
520624,2519,532623,2018-03-31T08:00:00,2018-03-31T20:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,140
520625,3839,536706,2018-03-31T08:00:00,2018-03-31T18:00:00,2018-03-31T11:00:00,2018-03-31T12:00:00,18,1089
520626,1368,536298,2018-03-31T08:00:00,2018-03-31T17:30:00,2018-03-31T11:00:00,2018-03-31T12:00:00,6,875
